Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Generation
18092,5.9,2.0,6.6,1.9,3.6,3.18,Moderate,Millennials
18093,7.6,1.7,6.8,2.3,4.3,3.03,Moderate,Millennials
18094,7.4,1.7,8.9,3.1,7.2,2.97,Moderate,Millennials
18095,5.1,3.3,8.7,2.7,4.9,3.49,Moderate,Millennials
18096,6.0,2.6,8.3,5.8,5.8,3.06,Moderate,Millennials
18097,4.6,1.9,7.4,1.2,4.1,2.96,Low,Millennials
18098,6.9,1.1,8.1,2.8,3.9,3.06,Moderate,Millennials
18099,5.2,1.7,8.1,2.8,4.7,3.12,Moderate,Millennials
18100,8.1,0.7,7.1,0.2,5.6,2.59,Moderate,Millennials
18101,6.3,2.1,6.8,1.5,5.2,3.44,Moderate,Millennials
18102,5.8,1.8,9.3,3.0,5.5,2.84,Moderate,Millennials
18103,5.2,3.0,7.9,1.3,3.1,2.98,Low,Millennials
18104,7.1,0.9,6.7,4.2,4.9,2.79,Low,Millennials
18105,4.9,2.7,7.9,3.6,4.1,3.29,Low,Millennials
18106,6.8,3.4,6.8,0.3,4.4,3.48,Moderate,Millennials
18107,7.9,4.6,7.7,1.7,3.8,2.75,Moderate,Millennials
18108,7.9,2.8,6.4,2.4,6.4,2.76,Moderate,Millennials
18109,2.4,1.3,8.6,3.5,3.9,3.55,High,Millennials
18110,5.1,2.7,7.7,2.2,3.7,3.09,Moderate,Millennials
18111,6.2,3.0,8.7,0.2,6.2,3.0,Moderate,Millennials
18112,6.2,0.4,5.1,0.8,7.2,2.94,Low,Millennials
18113,5.0,2.7,8.3,2.0,4.8,2.85,Low,Millennials
18114,7.4,3.3,8.2,3.2,4.3,3.33,High,Millennials
18115,4.9,2.0,7.6,2.5,4.9,3.4,Moderate,Millennials
18116,4.9,1.9,7.2,1.7,3.2,3.08,Moderate,Millennials
18117,7.5,1.7,6.0,2.6,0.9,3.03,Low,Millennials
18118,7.3,2.8,8.2,2.9,3.7,2.57,Moderate,Millennials
18119,5.7,3.2,7.1,2.5,1.9,3.03,High,Millennials
18120,7.3,2.3,7.8,3.6,3.2,3.2,High,Millennials
18121,7.0,1.3,5.9,1.8,4.0,2.99,Moderate,Millennials
18122,7.0,1.3,8.2,2.3,2.1,3.32,Moderate,Millennials
18123,7.2,2.0,6.1,1.7,3.4,2.47,Moderate,Millennials
18124,6.5,2.3,8.0,1.7,2.8,2.85,Moderate,Millennials
18125,6.6,2.0,6.5,2.9,2.8,2.48,Moderate,Millennials
18126,5.2,2.7,6.3,1.2,2.8,3.0,Moderate,Millennials
18127,5.0,1.9,8.0,1.7,3.7,3.27,Moderate,Millennials
18128,6.8,2.6,8.9,1.4,1.6,2.87,Low,Millennials
18129,6.0,3.1,7.3,2.1,3.3,3.03,Moderate,Millennials
18130,5.4,1.6,8.1,1.8,5.6,3.1,Moderate,Millennials
18131,4.5,0.7,7.0,4.6,3.0,3.06,Low,Millennials
18132,5.5,2.5,9.2,1.3,6.5,3.06,Moderate,Millennials
18133,6.0,2.3,8.3,1.2,4.1,3.14,Moderate,Millennials
18134,6.4,3.6,6.9,2.6,5.0,2.9,Moderate,Millennials
18135,4.8,1.9,8.8,2.0,3.9,2.82,Moderate,Millennials
18136,3.1,0.9,10.0,1.9,5.0,2.62,Moderate,Millennials
18137,5.4,4.3,9.0,2.0,4.5,3.22,High,Millennials
18138,3.7,1.2,7.5,1.9,5.0,2.63,High,Millennials
18139,6.7,2.3,8.5,1.8,1.1,3.14,Moderate,Millennials
18140,6.2,2.1,7.1,0.9,3.6,2.71,Moderate,Millennials
18141,7.8,4.0,8.2,2.9,7.0,2.89,High,Millennials
18142,5.7,0.9,7.7,0.0,6.6,2.98,Moderate,Millennials
18143,6.2,1.7,7.5,2.2,5.3,2.96,High,Millennials
18144,5.5,2.0,7.2,3.5,5.8,2.75,Moderate,Millennials
18145,6.1,3.4,8.4,1.3,2.6,2.95,High,Millennials
18146,6.0,2.9,8.9,0.0,4.6,3.37,Moderate,Millennials
18147,7.0,0.4,7.6,2.0,3.0,2.9,Moderate,Millennials
18148,5.0,2.3,7.9,2.3,3.8,3.17,Low,Millennials
18149,9.5,2.1,6.7,0.8,5.5,2.69,High,Millennials
18150,5.3,0.4,7.0,1.7,0.8,2.5,Low,Millennials
18151,3.6,3.1,7.4,0.1,3.8,2.48,Low,Millennials
18152,8.4,0.7,6.8,1.3,3.8,2.73,Low,Millennials
18153,6.9,1.1,7.4,1.6,4.1,3.81,Moderate,Millennials
18154,3.6,0.9,6.4,1.3,3.6,2.81,Moderate,Millennials
18155,6.2,3.3,6.8,3.0,3.6,3.06,Low,Millennials
18156,3.5,1.5,7.3,1.6,2.4,3.28,Low,Millennials
18157,5.4,1.8,5.6,2.3,3.2,2.86,Low,Millennials
18158,5.8,1.4,8.1,0.0,3.7,2.8,Low,Millennials
18159,6.9,2.7,7.2,1.2,2.3,3.57,Moderate,Millennials
18160,3.9,1.8,6.1,1.8,4.1,3.17,Low,Millennials
18161,7.4,2.7,8.2,1.1,3.6,3.37,Moderate,Millennials
18162,5.6,3.2,8.2,0.3,1.2,3.15,Moderate,Millennials
18163,6.6,1.3,6.6,2.2,1.1,2.79,Moderate,Millennials
18164,6.7,1.8,7.2,2.3,5.6,2.51,Moderate,Millennials
18165,6.2,0.0,8.3,1.2,4.2,2.82,Moderate,Millennials
18166,6.0,1.7,8.2,2.6,3.3,2.99,Low,Millennials
18167,5.9,2.0,9.5,2.5,4.1,2.89,Moderate,Millennials
18168,5.6,1.1,8.0,1.3,5.6,3.69,Moderate,Millennials
18169,4.3,1.5,7.1,1.2,4.9,3.09,High,Millennials
18170,6.7,0.0,7.5,0.9,4.3,2.66,Moderate,Millennials
18171,5.4,2.0,8.2,3.7,3.1,2.92,Moderate,Millennials
18172,4.9,0.0,9.7,2.8,2.2,2.97,Moderate,Millennials
18173,5.0,2.3,8.6,1.6,5.0,2.5,Low,Millennials
18174,6.7,0.0,7.9,0.4,4.0,3.22,Moderate,Millennials
18175,5.4,0.7,8.9,3.9,4.1,2.99,Moderate,Millennials
18176,5.5,4.7,8.1,2.2,4.9,3.46,High,Millennials
18177,6.8,2.3,7.6,3.3,5.0,3.01,High,Millennials
18178,7.8,1.0,8.9,3.2,2.8,2.66,Moderate,Millennials
18179,4.4,4.7,7.3,3.3,4.8,3.06,High,Millennials
18180,4.6,1.3,6.1,2.2,2.5,2.91,Moderate,Millennials
18181,6.4,1.3,6.8,3.2,4.9,3.37,Low,Millennials
18182,4.5,2.1,8.9,1.6,4.9,3.25,Low,Millennials
18183,5.9,4.7,7.0,3.6,3.8,3.06,High,Millennials
18184,8.4,3.2,7.5,3.2,6.7,2.94,High,Millennials
18185,6.4,0.5,7.6,1.9,4.0,2.84,Low,Millennials
18186,4.2,4.4,8.7,2.0,8.0,2.73,High,Millennials
18187,7.7,1.3,8.2,1.3,3.6,2.84,Moderate,Millennials
18188,5.5,1.1,7.1,2.0,3.0,3.15,High,Millennials
18189,5.0,2.2,7.2,2.1,4.8,3.85,Moderate,Millennials
18190,4.8,2.8,7.1,2.2,4.1,2.7,Moderate,Millennials
18191,4.7,0.1,7.4,4.3,2.8,3.29,Moderate,Millennials
18192,5.5,1.7,5.9,1.1,4.0,2.64,Low,Millennials
18193,6.8,3.4,6.5,2.4,6.5,2.87,Moderate,Millennials
18194,7.4,3.7,8.4,1.9,4.4,2.81,Moderate,Millennials
18195,4.7,1.8,7.7,2.5,4.4,2.69,Low,Millennials
18196,5.2,1.2,8.7,1.9,3.2,3.01,Moderate,Millennials
18197,2.9,3.5,9.1,3.1,6.9,2.92,High,Millennials
18198,7.8,2.1,6.6,2.4,4.9,2.82,Moderate,Millennials
18199,3.7,1.4,7.3,3.4,4.1,2.91,Low,Millennials
18200,4.3,1.8,8.8,0.2,3.4,3.15,Low,Millennials
18201,5.9,1.1,7.7,2.6,5.0,3.0,Low,Millennials
18202,5.0,3.4,7.0,3.1,2.7,3.05,Moderate,Millennials
18203,9.2,3.1,6.7,3.3,4.0,3.29,Moderate,Millennials
18204,4.3,2.0,6.6,3.5,2.9,3.23,High,Millennials
18205,4.4,2.3,7.1,2.0,3.7,3.39,High,Millennials
18206,7.9,2.2,6.8,1.5,5.3,2.92,Moderate,Millennials
18207,5.8,2.9,8.2,3.0,2.7,2.51,Moderate,Millennials
18208,6.4,2.4,8.0,0.9,2.7,2.87,Moderate,Millennials
18209,3.5,3.2,7.3,3.5,1.0,3.05,High,Millennials
18210,7.6,1.0,7.7,1.9,3.2,3.23,High,Millennials
18211,5.1,2.1,8.2,3.3,3.4,2.53,Low,Millennials
18212,3.8,2.4,8.6,2.7,2.6,2.63,Moderate,Millennials
18213,5.7,2.7,7.9,4.2,6.6,2.4,High,Millennials
18214,7.4,1.1,7.3,0.7,3.0,3.21,Moderate,Millennials
18215,4.8,2.2,8.4,2.3,4.1,2.81,Low,Millennials
18216,5.7,1.5,7.5,2.5,3.6,2.87,Moderate,Millennials
18217,5.9,2.5,8.9,4.7,6.7,2.99,Low,Millennials
18218,6.5,0.2,7.9,0.9,3.6,2.8,Moderate,Millennials
18219,4.5,2.9,7.5,3.4,5.4,3.28,Low,Millennials
18220,7.9,1.6,7.5,3.1,2.9,3.49,Moderate,Millennials
18221,5.4,3.2,7.9,2.5,4.6,2.89,Moderate,Millennials
18222,4.5,4.2,7.1,2.0,4.8,2.66,Moderate,Millennials
18223,4.4,2.5,7.9,3.7,3.3,2.9,High,Millennials
18224,7.0,2.5,7.2,0.8,4.3,2.68,Moderate,Millennials
18225,7.2,2.7,8.1,1.7,3.0,2.55,Low,Millennials
18226,7.2,3.0,8.2,2.4,4.1,2.96,Moderate,Millennials
18227,3.9,2.6,8.8,1.7,3.5,2.61,Low,Millennials
18228,5.7,1.6,7.1,1.4,5.1,3.24,Low,Millennials
18229,5.8,1.5,7.2,2.8,5.1,3.2,Moderate,Millennials
18230,7.1,0.8,7.5,2.7,3.5,3.08,Moderate,Millennials
18231,5.4,1.8,9.1,1.8,3.7,2.78,High,Millennials
18232,5.2,1.2,6.2,3.1,4.9,2.43,Moderate,Millennials
18233,4.6,1.6,5.4,2.5,5.7,2.56,Low,Millennials
18234,5.1,2.3,7.7,1.3,7.0,2.98,Moderate,Millennials
18235,6.4,3.5,8.2,1.1,7.1,2.66,Low,Millennials
18236,7.2,2.2,9.3,0.9,4.0,2.48,Moderate,Millennials
18237,5.0,3.1,8.3,0.0,4.9,2.88,Low,Millennials
18238,3.4,1.0,8.7,3.0,4.6,2.76,High,Millennials
18239,2.0,1.6,8.6,3.6,3.1,3.48,Moderate,Millennials
18240,6.6,2.0,8.3,2.4,4.0,2.92,High,Millennials
18241,7.1,4.2,7.5,0.3,2.0,3.1,Low,Millennials
18242,4.8,1.1,6.4,3.5,3.5,2.91,Moderate,Millennials
18243,4.8,0.8,8.4,1.4,4.2,2.76,Low,Millennials
18244,5.5,1.2,7.9,3.7,4.3,2.72,Low,Millennials
18245,2.7,2.6,7.6,1.5,4.1,3.43,Moderate,Millennials
18246,6.1,2.8,8.7,0.3,1.1,2.37,High,Millennials
18247,7.5,2.1,10.0,0.3,2.3,2.22,High,Millennials
18248,5.5,2.8,8.5,0.0,2.9,3.08,High,Millennials
18249,4.2,1.8,7.4,1.7,4.4,2.86,Moderate,Millennials
18250,5.2,3.8,9.0,2.4,4.4,3.22,Low,Millennials
18251,5.3,1.7,8.0,0.5,4.3,2.98,Low,Millennials
18252,6.6,2.2,8.0,2.4,2.6,3.18,Moderate,Millennials
18253,5.4,3.6,8.0,2.5,3.9,3.59,Moderate,Millennials
18254,5.6,1.4,7.9,1.8,6.0,2.78,Moderate,Millennials
18255,5.2,2.9,8.8,3.3,4.4,3.39,Moderate,Millennials
18256,5.7,3.1,8.6,1.1,6.4,3.09,Low,Millennials
18257,7.6,0.6,8.2,2.0,2.9,2.88,Moderate,Millennials
18258,7.2,4.2,9.7,1.0,5.6,3.55,High,Millennials
18259,6.3,2.0,5.5,0.2,3.0,3.58,Moderate,Millennials
18260,5.5,4.1,7.8,0.0,4.2,2.96,High,Millennials
18261,7.0,2.0,7.3,3.1,6.8,2.69,Moderate,Millennials
18262,6.1,3.3,6.9,2.1,3.8,2.91,Low,Millennials
18263,5.7,2.8,9.8,3.4,5.0,2.99,Low,Millennials
18264,7.3,2.9,7.7,2.9,4.1,2.86,High,Millennials
18265,5.2,2.6,6.8,1.1,4.0,3.09,Low,Millennials
18266,7.0,2.7,8.4,0.7,3.8,3.24,Low,Millennials
18267,6.1,2.6,8.4,1.4,4.1,3.81,Low,Millennials
18268,5.8,2.1,7.5,4.0,6.0,2.86,High,Millennials
18269,9.4,0.2,9.4,2.6,5.8,3.58,Moderate,Millennials
18270,7.2,1.6,7.8,1.5,4.6,2.56,Moderate,Millennials
18271,6.9,1.3,6.5,2.6,4.6,3.11,Low,Millennials
18272,5.5,1.6,7.5,1.4,5.3,3.13,Low,Millennials
18273,7.6,1.1,7.7,2.3,2.7,2.91,Low,Millennials
18274,6.7,1.6,7.1,2.7,2.7,3.09,High,Millennials
18275,4.0,1.3,8.0,3.3,3.9,3.18,Moderate,Millennials
18276,5.6,2.6,7.6,4.0,4.0,3.32,Low,Millennials
18277,7.5,3.0,6.6,0.5,1.8,3.47,Moderate,Millennials
18278,5.7,2.4,8.9,2.6,3.6,2.94,Low,Millennials
18279,4.5,2.1,7.5,3.1,1.8,2.74,Low,Millennials
18280,4.8,2.8,8.1,0.2,4.7,2.91,High,Millennials
18281,5.4,3.3,7.2,1.6,2.1,2.91,Low,Millennials
18282,4.9,1.3,8.3,1.0,5.3,2.99,Low,Millennials
18283,7.5,2.4,8.7,1.4,1.8,2.49,Moderate,Millennials
18284,5.8,2.9,8.3,2.7,3.7,2.8,High,Millennials
18285,2.1,2.6,8.1,3.0,5.1,2.46,High,Millennials
18286,6.5,1.8,9.0,3.7,2.6,2.9,Moderate,Millennials
18287,3.9,3.0,6.5,0.9,3.2,3.29,Low,Millennials
18288,6.5,1.4,7.4,0.8,4.9,2.84,Low,Millennials
18289,7.0,1.8,9.3,1.7,4.7,3.02,Moderate,Millennials
18290,8.9,1.6,8.8,2.4,6.7,2.71,High,Millennials
18291,7.1,1.6,8.4,2.1,3.3,2.96,Moderate,Millennials
18292,6.8,2.1,6.4,0.0,4.8,3.15,Moderate,Millennials
18293,7.0,2.5,6.8,2.0,5.3,3.12,Low,Millennials
18294,4.5,0.0,6.7,3.4,1.4,3.13,Moderate,Millennials
18295,6.5,3.3,8.3,1.3,4.9,3.27,Moderate,Millennials
18296,6.1,3.4,8.8,1.9,2.9,2.64,Low,Millennials
18297,7.9,4.7,8.5,2.3,6.4,3.36,Low,Millennials
18298,7.6,0.8,7.5,1.4,3.3,2.59,Low,Millennials
18299,5.3,2.7,8.5,2.5,4.3,3.27,Moderate,Millennials
18300,4.1,2.3,5.0,0.8,6.1,3.2,High,Millennials
18301,7.8,1.8,7.4,0.4,2.2,2.86,Moderate,Millennials
18302,7.5,4.7,8.3,2.4,3.9,2.4,Low,Millennials
18303,5.6,1.3,8.2,3.2,2.1,3.44,Moderate,Millennials
18304,4.5,2.9,8.8,2.5,3.9,2.84,Moderate,Millennials
18305,4.8,1.0,6.9,1.9,3.9,2.86,Low,Millennials
18306,6.1,0.7,7.3,1.5,1.6,2.55,Moderate,Millennials
18307,5.5,2.6,7.0,1.5,5.4,2.73,Low,Millennials
18308,5.8,3.1,8.9,2.3,3.5,3.07,Low,Millennials
18309,6.2,0.2,8.1,1.0,3.6,2.89,High,Millennials
18310,6.9,3.5,7.7,2.7,2.2,2.84,Low,Millennials
18311,5.9,2.0,7.7,0.5,2.0,2.97,Low,Millennials
18312,5.0,1.0,8.4,3.6,4.5,3.02,Moderate,Millennials
18313,6.8,0.6,9.1,1.3,4.7,3.18,Moderate,Millennials
18314,3.1,3.5,7.3,5.0,4.7,3.51,Moderate,Millennials
18315,7.1,4.8,7.7,1.8,6.3,2.87,Moderate,Millennials
18316,5.3,0.9,7.7,1.3,7.3,3.03,High,Millennials
18317,5.3,0.4,6.7,1.8,4.6,3.26,High,Millennials
18318,5.6,5.5,8.4,2.2,4.8,2.98,Moderate,Millennials
18319,5.5,0.5,8.1,3.3,4.4,2.52,Moderate,Millennials
18320,3.3,3.4,6.4,1.4,0.4,2.86,Low,Millennials
18321,5.5,1.3,6.6,1.6,2.4,3.1,Low,Millennials
18322,6.0,1.4,7.8,1.0,3.0,3.52,Low,Millennials
18323,4.4,4.1,9.1,2.4,3.4,3.03,Low,Millennials
18324,7.5,4.5,6.4,0.6,3.5,2.98,Moderate,Millennials
18325,5.6,1.3,8.8,1.2,7.3,3.38,Low,Millennials
18326,6.7,1.5,6.4,2.2,6.0,2.7,High,Millennials
18327,5.6,1.7,7.0,1.8,3.7,3.49,Low,Millennials
18328,4.5,2.6,8.4,1.5,2.2,2.73,High,Millennials
18329,5.8,1.8,8.3,1.8,0.6,2.92,Moderate,Millennials
18330,6.5,1.6,7.0,2.0,5.7,3.01,Low,Millennials
18331,7.4,3.3,7.5,3.0,2.1,3.49,Low,Millennials
18332,6.6,2.5,7.6,3.3,3.2,3.53,Low,Millennials
18333,6.7,2.2,8.9,0.3,5.4,2.57,Low,Millennials
18334,5.9,2.5,7.1,1.4,6.1,3.21,Low,Millennials
18335,4.9,3.0,8.9,3.2,5.9,2.89,Low,Millennials
18336,5.0,2.3,7.8,0.8,4.6,2.85,Moderate,Millennials
18337,8.1,1.9,8.3,1.7,7.3,2.91,Low,Millennials
18338,4.2,3.0,8.8,1.9,2.3,3.21,Moderate,Millennials
18339,5.0,2.6,8.0,1.5,5.8,2.79,Low,Millennials
18340,5.7,4.6,7.7,2.3,4.2,3.34,Moderate,Millennials
18341,7.9,2.5,7.6,3.8,3.1,2.9,Moderate,Millennials
18342,5.9,0.7,8.4,0.2,3.6,2.66,Moderate,Millennials
18343,5.1,1.4,7.2,2.9,3.7,2.5,Low,Millennials
18344,6.3,1.6,8.1,2.1,6.7,2.98,Moderate,Millennials
18345,4.8,0.8,8.4,1.9,4.6,3.04,Moderate,Millennials
18346,6.2,4.3,9.0,0.8,4.0,3.18,Moderate,Millennials
18347,5.8,1.8,6.2,0.8,4.0,3.23,Moderate,Millennials
18348,4.8,1.2,9.1,1.5,4.1,3.33,Low,Millennials
18349,6.6,0.1,7.2,1.1,3.3,2.71,Low,Millennials
18350,6.9,1.8,7.5,2.4,6.4,2.69,Moderate,Millennials
18351,5.7,2.9,6.8,3.1,1.6,3.15,Moderate,Millennials
18352,7.7,4.1,7.4,2.8,3.9,3.15,Low,Millennials
18353,5.1,0.4,8.8,1.9,5.1,3.31,Moderate,Millennials
18354,7.3,2.1,8.4,3.4,5.6,2.88,High,Millennials
18355,5.9,2.2,7.4,2.8,5.6,2.72,Moderate,Millennials
18356,5.8,2.8,8.7,1.9,4.6,2.93,Moderate,Millennials
18357,3.9,1.2,7.8,3.4,4.1,3.37,Moderate,Millennials
18358,6.7,2.8,7.1,1.1,3.9,3.1,Low,Millennials
18359,6.4,3.9,7.9,2.8,3.0,3.21,Moderate,Millennials
18360,6.2,2.6,7.6,2.8,2.2,3.53,High,Millennials
18361,6.0,2.0,8.2,1.8,4.6,2.91,Low,Millennials
18362,7.3,1.7,7.5,4.2,4.8,3.46,Low,Millennials
18363,6.3,2.1,8.2,0.4,1.8,3.01,Low,Millennials
18364,6.3,1.8,8.9,2.9,4.3,3.3,Moderate,Millennials
18365,5.5,2.2,8.8,2.4,1.5,2.86,High,Millennials
18366,2.9,3.1,7.5,1.0,5.4,2.75,Moderate,Millennials
18367,5.1,3.1,6.3,1.1,1.6,3.08,Low,Millennials
18368,2.9,0.2,7.9,2.9,4.4,2.93,Moderate,Millennials
18369,5.1,2.6,8.0,2.8,4.8,3.25,Low,Millennials
18370,4.7,0.9,8.6,1.2,5.4,2.97,Moderate,Millennials
18371,4.6,2.7,7.8,2.0,7.1,3.2,Low,Millennials
18372,6.6,2.5,8.5,1.9,3.9,3.57,Moderate,Millennials
18373,7.8,2.1,5.4,3.0,6.3,2.94,Moderate,Millennials
18374,4.5,2.7,8.9,2.9,5.9,3.32,Moderate,Millennials
18375,7.0,1.5,7.8,1.2,3.4,2.86,Low,Millennials
18376,3.7,2.8,9.3,3.1,2.9,2.76,Moderate,Millennials
18377,4.9,2.7,7.2,0.9,1.9,2.98,Moderate,Millennials
18378,6.9,1.8,6.4,1.1,1.6,2.95,Moderate,Millennials
18379,6.8,6.0,8.0,1.5,5.4,3.39,Moderate,Millennials
18380,7.3,1.0,8.4,2.3,5.1,2.87,Moderate,Millennials
18381,6.9,1.3,7.1,1.5,5.1,3.66,High,Millennials
18382,5.8,2.1,8.6,0.6,5.5,3.03,High,Millennials
18383,5.0,3.3,6.3,4.0,2.9,2.57,High,Millennials
18384,5.9,2.9,5.7,2.5,3.1,3.1,Low,Millennials
18385,6.5,3.3,8.2,2.4,4.9,3.24,High,Millennials
